id,key,value,type
55741774,highway,turning_circle,regular
55742472,highway,motorway_junction,regular
55745492,highway,turning_circle,regular
55746648,highway,motorway_junction,regular
55747166,highway,turning_circle,regular
55747174,highway,turning_circle,regular
55747479,railway,level_crossing,regular
55747489,railway,level_crossing,regular
55747903,highway,turning_circle,regular
55748775,highway,turning_circle,regular
55751448,highway,turning_circle,regular
55751448,source,Bing,regular
55751450,highway,turning_circle,regular
55751450,source,Bing,regular
55755185,highway,turning_circle,regular
55755190,highway,turning_loop,regular
55756944,highway,turning_circle,regular
55756954,highway,turning_circle,regular
55758766,barrier,gate,regular
55760180,highway,turning_circle,regular
55760303,highway,turning_circle,regular
55760305,highway,turning_circle,regular
55760311,highway,turning_circle,regular
55761000,highway,turning_circle,regular
55761000,source,Bing,regular
55764098,highway,turning_circle,regular
55764098,source,Bing,regular
55764129,highway,turning_circle,regular
55764129,source,Bing,regular
55764675,highway,turning_circle,regular
55764675,source,Bing,regular
55764825,highway,turning_circle,regular
55765807,highway,traffic_signals,regular
55765852,highway,motorway_junction,regular
55766100,highway,turning_circle,regular
55766192,highway,turning_circle,regular
55766192,source,Bing,regular
55767531,highway,turning_circle,regular
55767581,highway,turning_circle,regular
55767588,highway,turning_circle,regular
55768619,highway,turning_circle,regular
55769388,highway,turning_circle,regular
55769688,highway,turning_circle,regular
55769688,source,Bing,regular
55769755,highway,turning_circle,regular
55769755,source,Bing,regular
55771389,highway,traffic_signals,regular
55771428,highway,turning_circle,regular
55771428,source,Bing,regular
55771509,highway,turning_circle,regular
55771509,source,Bing,regular
55771512,highway,turning_circle,regular
55771512,source,Bing,regular
55771668,highway,turning_circle,regular
55772455,highway,traffic_signals,regular
55772482,highway,traffic_signals,regular
55772482,source,Bing,regular
55772681,highway,traffic_signals,regular
55772701,highway,traffic_signals,regular
55772701,source,Bing,regular
55773061,highway,turning_circle,regular
55773061,source,Bing,regular
55773370,highway,turning_circle,regular
55773383,highway,turning_circle,regular
55773405,highway,turning_circle,regular
55773546,highway,turning_circle,regular
55773546,source,Bing,regular
55773560,railway,level_crossing,regular
55773760,highway,turning_circle,regular
55773760,source,Bing,regular
55773885,highway,turning_circle,regular
55773890,highway,turning_circle,regular
55774047,highway,turning_circle,regular
55774047,source,Bing,regular
55774140,highway,turning_circle,regular
55774420,highway,turning_circle,regular
55774508,highway,turning_circle,regular
55774520,highway,turning_circle,regular
55774949,highway,turning_circle,regular
55775063,highway,turning_circle,regular
55775063,source,Bing,regular
55775092,highway,turning_circle,regular
55775092,source,Bing,regular
55775119,highway,turning_circle,regular
55775124,highway,turning_circle,regular
55775128,highway,turning_circle,regular
55775135,highway,turning_circle,regular
55775410,highway,traffic_signals,regular
55775457,highway,traffic_signals,regular
55775574,highway,turning_circle,regular
55775574,source,Bing,regular
55775640,highway,turning_circle,regular
55775640,source,Bing,regular
55775680,highway,turning_circle,regular
55775700,highway,turning_circle,regular
55775939,highway,turning_circle,regular
55775939,source,Bing,regular
55776469,highway,turning_circle,regular
55776469,source,Bing,regular
55778256,highway,turning_circle,regular
55778764,highway,turning_circle,regular
55778764,source,Bing,regular
55779261,highway,turning_circle,regular
55779435,highway,stop,regular
55780465,highway,traffic_signals,regular
55781458,highway,turning_circle,regular
55782087,railway,level_crossing,regular
55782424,highway,turning_circle,regular
55783132,railway,level_crossing,regular
55783874,railway,level_crossing,regular
55783946,direction,forward,regular
55783946,highway,stop,regular
55784710,highway,turning_circle,regular
55784744,highway,turning_circle,regular
55784744,source,Bing,regular
55786201,highway,turning_circle,regular
55786201,source,Bing,regular
55787262,highway,turning_circle,regular
55787268,highway,turning_circle,regular
55787306,highway,turning_circle,regular
55787310,highway,turning_circle,regular
55788183,highway,turning_circle,regular
55788183,source,Bing,regular
55788427,highway,turning_circle,regular
55788437,highway,turning_circle,regular
55788437,source,Bing,regular
55788442,highway,turning_circle,regular
55788464,highway,turning_circle,regular
55788471,highway,turning_circle,regular
55788494,highway,turning_circle,regular
55788686,highway,turning_circle,regular
55788945,highway,turning_circle,regular
55788964,highway,turning_circle,regular
55789009,highway,turning_circle,regular
55789009,source,Bing,regular
55789185,highway,traffic_signals,regular
55789214,highway,traffic_signals,regular
55789219,highway,traffic_signals,regular
55789580,highway,turning_circle,regular
55789729,lights,yes,crossing
55789729,railway,level_crossing,regular
55789729,source,Bing,regular
55789730,highway,traffic_signals,regular
55789824,highway,turning_circle,regular
55789824,source,Bing,regular
55789832,highway,turning_circle,regular
55789832,source,Bing,regular
55790033,highway,turning_circle,regular
55791023,highway,turning_circle,regular
55791028,highway,turning_circle,regular
55791142,highway,turning_circle,regular
55791142,source,Bing,regular
55791186,highway,turning_circle,regular
55791210,highway,turning_circle,regular
55791891,highway,turning_circle,regular
55791919,highway,turning_circle,regular
55791931,highway,turning_circle,regular
55791931,source,Bing,regular
55791937,highway,turning_circle,regular
55791937,source,Bing,regular
55791942,highway,turning_circle,regular
55791942,source,Bing,regular
55792627,highway,turning_circle,regular
55792627,source,Bing,regular
55792845,highway,traffic_signals,regular
55792930,highway,traffic_signals,regular
55793540,highway,turning_circle,regular
55793545,highway,turning_circle,regular
55793694,highway,turning_circle,regular
55793694,source,Bing,regular
55793876,highway,turning_circle,regular
55793925,highway,turning_circle,regular
55793939,highway,turning_circle,regular
55793939,source,Bing,regular
55794344,highway,turning_circle,regular
55794623,highway,traffic_signals,regular
55794992,highway,turning_circle,regular
55794992,source,Bing,regular
55795001,highway,turning_circle,regular
55795001,source,Bing,regular
55795422,highway,turning_circle,regular
55795422,source,Bing,regular
55795578,highway,turning_circle,regular
55795578,source,Bing,regular
55796002,highway,turning_circle,regular
55796138,highway,turning_circle,regular
55796228,highway,turning_circle,regular
55796300,highway,turning_circle,regular
55796379,highway,traffic_signals,regular
55796379,traffic_signals,signal,regular
55798747,highway,traffic_signals,regular
55798747,traffic_signals,signal,regular
55798945,highway,turning_circle,regular
55798957,highway,turning_circle,regular
55799080,highway,turning_circle,regular
55799080,source,Bing,regular
55799364,highway,turning_circle,regular
55799436,highway,turning_circle,regular
55799436,source,Bing,regular
55800257,highway,turning_circle,regular
55800257,source,Bing,regular
55801147,highway,turning_circle,regular
55801147,source,Bing,regular
55801530,highway,turning_circle,regular
55802120,highway,turning_circle,regular
55802120,source,Bing,regular
55803393,highway,turning_circle,regular
55803393,source,Bing,regular
55803430,highway,traffic_signals,regular
55803449,railway,level_crossing,regular
55803552,highway,traffic_signals,regular
55803966,railway,level_crossing,regular
55803970,railway,level_crossing,regular
55804862,railway,level_crossing,regular
55804921,railway,level_crossing,regular
55805750,highway,turning_circle,regular
55805769,highway,turning_circle,regular
55805769,source,Bing,regular
55806538,highway,turning_circle,regular
55806538,source,Bing,regular
55806545,highway,turning_circle,regular
55806545,source,Bing,regular
55807769,highway,turning_circle,regular
55808310,highway,turning_circle,regular
55808310,source,Bing,regular
55809617,highway,turning_circle,regular
55809617,source,Bing,regular
55809836,highway,traffic_signals,regular
55809836,source,Bing,regular
55809853,highway,traffic_signals,regular
55810687,highway,turning_circle,regular
55810687,source,Bing,regular
55810709,highway,turning_circle,regular
55810709,source,Bing,regular
55810722,highway,turning_circle,regular
55810722,source,Bing,regular
55810911,highway,turning_circle,regular
55810911,source,Bing,regular
55810918,highway,turning_circle,regular
55810918,source,Bing,regular
55811178,highway,traffic_signals,regular
55812237,highway,turning_circle,regular
55812237,source,Bing,regular
55812258,highway,turning_circle,regular
55813125,highway,turning_circle,regular
