id,user,uid,version,changeset,timestamp
6155388,GPS_dr,117055,2,75919960,2019-10-19T05:30:17Z
6156370,swaverma,10252559,9,79910837,2020-01-22T11:01:36Z
6156520,Didger85,2429366,2,34964123,2015-10-30T04:26:09Z
6156697,kli_lyft,10313605,6,82397202,2020-03-19T15:47:22Z
6157630,jdkrabbe,388969,6,86098212,2020-06-02T20:58:26Z
6157915,MikeM44,112919,2,16867298,2013-07-07T23:37:44Z
6157976,DaveHansenTiger,7168,1,424197,2007-09-14T03:54:56Z
6158339,DaveHansenTiger,7168,1,424753,2007-09-14T04:00:26Z
6158352,yadathot,9632260,3,74774220,2019-09-22T15:11:44Z
6158725,DaveHansenTiger,7168,1,424753,2007-09-14T04:06:34Z
6158832,MikeM44,112919,3,32655777,2015-07-15T16:15:02Z
6158889,gpserror,9637872,5,84844080,2020-05-07T16:50:41Z
6158919,MikeM44,112919,3,16866742,2013-07-07T22:19:42Z
6158938,Richard,165,4,28481389,2015-01-29T08:31:39Z
6158962,MikeM44,112919,5,10983258,2012-03-14T22:15:55Z
6159468,somanch,10480290,3,82296977,2020-03-17T10:06:06Z
6159563,DaveHansenTiger,7168,1,424753,2007-09-14T04:16:47Z
6159690,DaveHansenTiger,7168,1,424753,2007-09-14T04:18:06Z
6159691,DaveHansenTiger,7168,1,424753,2007-09-14T04:18:06Z
6159742,jdoniche,10173458,4,84187602,2020-04-27T09:30:31Z
6159755,gpserror,9637872,10,84086112,2020-04-25T00:24:27Z
6160723,gpserror,9637872,7,71307798,2019-06-16T18:54:23Z
6160846,Mr_Brown,60650,2,12434836,2012-07-22T15:40:07Z
6160976,Mr_Brown,60650,2,9347866,2011-09-20T02:46:10Z
6160979,MikeM44,112919,2,23986989,2014-07-06T16:29:49Z
6160981,Didger85,2429366,2,34964123,2015-10-30T04:26:09Z
6160982,MikeM44,112919,2,23986989,2014-07-06T16:29:50Z
6161135,DaveHansenTiger,7168,1,424753,2007-09-14T04:36:39Z
6161695,jdkrabbe,388969,7,44721345,2016-12-28T04:19:32Z
6161764,Didger85,2429366,2,36228165,2015-12-28T19:59:15Z
6161771,DaveHansenTiger,7168,1,424753,2007-09-14T04:47:17Z
6161917,MikeM44,112919,3,10983258,2012-03-14T22:15:47Z
6161919,nehnaaz,10240915,5,83942761,2020-04-22T12:58:44Z
6161927,Richard,165,3,28259934,2015-01-19T18:35:04Z
6161933,DaveHansenTiger,7168,1,424753,2007-09-14T04:48:26Z
6162043,DaveHansenTiger,7168,1,424753,2007-09-14T04:49:14Z
6162044,DaveHansenTiger,7168,1,424753,2007-09-14T04:49:14Z
6162227,DaveHansenTiger,7168,1,424753,2007-09-14T04:51:19Z
6162324,DaveHansenTiger,7168,1,424753,2007-09-14T04:53:11Z
6162360,MikeM44,112919,3,39522718,2016-05-24T02:55:26Z
6162635,Mr_Brown,60650,2,9347866,2011-09-20T02:46:10Z
6162819,jomsjaco,10480279,3,81952825,2020-03-09T08:42:25Z
6163040,MikeM44,112919,2,23986989,2014-07-06T16:29:50Z
6163097,MikeM44,112919,2,16866742,2013-07-07T22:19:43Z
6163203,jdkrabbe,388969,5,86098212,2020-06-02T20:58:26Z
6163271,shkshar,10127776,2,83994639,2020-04-23T10:22:54Z
6163289,MikeM44,112919,2,14301144,2012-12-17T03:47:26Z
6163294,gpserror,9637872,6,88594016,2020-07-28T04:16:34Z
6163296,DaveHansenTiger,7168,1,425392,2007-09-14T05:08:13Z
